id,affinity
4e3d,2.30
4qmv,7.64
4mw4,6.50
5ngr,4.62
1em6,8.22
4ehr,7.89
6ghh,6.71
3qtx,7.15
4nh8,8.52
4yab,5.07
5fbn,9.57
5cgj,5.22
2wbb,6.04
1bgo,8.46
2op9,5.66
2hdq,1.40
4huo,4.70
1i9p,8.41
3uvp,7.46
3k3i,5.72
5u00,8.70
3c2f,2.00
5enk,8.10
4aac,8.17
4lmu,7.26
3oc0,6.28
1lhv,8.91
4qnu,6.40
2cct,5.02
2a3x,6.92
5ihc,7.89
3oag,9.51
3kiv,4.70
5aut,5.17
5i9x,7.52
6bu1,7.22
1gym,2.70
2ghg,8.82
6cyd,8.70
4s3f,6.24
3hxb,5.39
3qs4,4.68
1h3b,6.85
4fhi,7.00
6eo0,6.43
2a8g,3.69
3gdt,7.19
5alw,5.15
3lkj,4.60
4obo,7.11
4deg,8.22
1c29,6.33
1m2p,6.11
4ibg,3.97
2bvx,8.70
5u2c,6.63
3ppr,2.82
4e3o,6.51
5sz5,7.70
1ajq,4.31
5nba,7.30
3b28,8.47
2c1b,6.40
3rwp,9.22
4mr6,6.60
4x3u,5.09
1t48,3.46
1m5e,7.70
5z68,5.89
1rs4,7.17
4zx5,6.19
6hf5,5.17
2ael,6.29
5hjq,4.72
1r5n,5.42
1gaf,8.00
4u2y,3.99
5w3i,5.80
3jyr,5.54
6hsh,7.55
3pjc,7.57
3vjl,8.25
3p3s,7.59
5hu1,8.66
2oc4,7.07
3tf6,6.40
1msn,9.09
6ftz,3.00
1bp0,5.40
6chq,5.36
4p4b,7.85
4j52,8.52
4zx0,8.00
5q17,5.25
3f16,8.23
5q19,7.32
1oky,8.19
3h0b,5.49
3e5u,5.85
6cmr,6.61
5iua,8.82
3hk1,6.17
3zls,4.40
5wbp,4.36
3arr,5.40
5o9y,5.34
3g8e,5.35
2xbw,8.00
2x52,4.24
4wa9,8.42
1hq5,5.65
4wq2,6.30
1pot,5.49
4e90,8.10
3osi,5.22
3gbe,5.00
